Name,Team,Number,Position,Age,Height,Weight,College,Salary,
362,Devyn Marble,Orlando Magic,11,SF,23,06-Jun,200,Iowa,845059
363,Shabazz Napier,Orlando Magic,13,PG,24,06-Jan,175,Connecticut,1294440
364,Andrew Nicholson,Orlando Magic,44,PF,26,06-Sep,250,St. Bonaventure,2380593
365,Victor Oladipo,Orlando Magic,5,SG,24,06-Apr,210,Indiana,5192520
366,Elfrid Payton,Orlando Magic,4,PG,22,06-Apr,185,Louisiana-Lafayette,2505720
367,Jason Smith,Orlando Magic,14,PF,30,7-0,240,Colorado State,4300000
368,Nikola Vucevic,Orlando Magic,9,C,25,7-0,260,USC,11250000
369,C.J. Watson,Orlando Magic,32,PG,32,06-Feb,175,Tennessee,5000000
370,Alan Anderson,Washington Wizards,6,SG,33,06-Jun,220,Michigan State,4000000
371,Bradley Beal,Washington Wizards,3,SG,22,06-May,207,Florida,5694674
372,Jared Dudley,Washington Wizards,1,SF,30,06-Jul,225,Boston College,4375000
373,Jarell Eddie,Washington Wizards,8,SG,24,06-Jul,218,Virginia Tech,561716
374,Drew Gooden,Washington Wizards,90,PF,34,06-Oct,250,Kansas,3300000
375,Marcin Gortat,Washington Wizards,13,C,32,06-Nov,240,,11217391
376,JJ Hickson,Washington Wizards,21,C,27,06-Sep,242,North Carolina State,273038
377,Nene Hilario,Washington Wizards,42,C,33,06-Nov,250,,13000000
378,Markieff Morris,Washington Wizards,5,PF,26,06-Oct,245,Kansas,8000000
379,Kelly Oubre Jr.,Washington Wizards,12,SF,20,06-Jul,205,Kansas,1920240
380,Otto Porter Jr.,Washington Wizards,22,SF,23,06-Aug,198,Georgetown,4662960
381,Ramon Sessions,Washington Wizards,7,PG,30,06-Mar,190,Nevada,2170465
382,Garrett Temple,Washington Wizards,17,SG,30,06-Jun,195,LSU,1100602
383,Marcus Thornton,Washington Wizards,15,SF,29,06-Apr,205,LSU,200600
384,John Wall,Washington Wizards,2,PG,25,06-Apr,195,Kentucky,15851950
385,Darrell Arthur,Denver Nuggets,0,PF,28,06-Sep,235,Kansas,2814000
386,D.J. Augustin,Denver Nuggets,12,PG,28,6-0,183,Texas,3000000
387,Will Barton,Denver Nuggets,5,SF,25,06-Jun,175,Memphis,3533333
388,Wilson Chandler,Denver Nuggets,21,SF,29,06-Aug,225,DePaul,10449438
389,Kenneth Faried,Denver Nuggets,35,PF,26,06-Aug,228,Morehead State,11235955
390,Danilo Gallinari,Denver Nuggets,8,SF,27,06-Oct,225,,14000000
391,Gary Harris,Denver Nuggets,14,SG,21,06-Apr,210,Michigan State,1584480
392,Nikola Jokic,Denver Nuggets,15,C,21,06-Oct,250,,1300000
393,Joffrey Lauvergne,Denver Nuggets,77,C,24,06-Nov,220,,1709719
394,Mike Miller,Denver Nuggets,3,SG,36,06-Aug,218,Florida,947276
395,Emmanuel Mudiay,Denver Nuggets,0,PG,20,06-May,200,,3102240
396,Jameer Nelson,Denver Nuggets,1,PG,34,6-0,190,Saint Joseph's,4345000
397,Jusuf Nurkic,Denver Nuggets,23,C,21,7-0,280,,1842000
398,JaKarr Sampson,Denver Nuggets,9,SG,23,06-Sep,214,St. John's,258489
399,Axel Toupane,Denver Nuggets,6,SG,23,06-Jul,210,,
400,Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,06-Oct,240,,3950001
401,Gorgui Dieng,Minnesota Timberwolves,5,C,26,06-Nov,241,Louisville,1474440
402,Kevin Garnett,Minnesota Timberwolves,21,PF,40,06-Nov,240,,8500000
403,Tyus Jones,Minnesota Timberwolves,1,PG,20,06-Feb,195,Duke,1282080
404,Zach LaVine,Minnesota Timberwolves,8,PG,21,06-May,189,UCLA,2148360
405,Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,06-Jun,223,UCLA,2056920
406,Adreian Payne,Minnesota Timberwolves,33,PF,25,06-Oct,237,Michigan State,1938840
407,Nikola Pekovic,Minnesota Timberwolves,14,C,30,06-Nov,307,,12100000
408,Tayshaun Prince,Minnesota Timberwolves,12,SF,36,06-Sep,212,Kentucky,947276
409,Ricky Rubio,Minnesota Timberwolves,9,PG,25,06-Apr,194,,12700000
410,Damjan Rudez,Minnesota Timberwolves,10,SF,29,06-Sep,230,,1149500
411,Greg Smith,Minnesota Timberwolves,4,PF,25,06-Oct,250,Fresno State,
412,Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,7-0,244,Kentucky,5703600
413,Andrew Wiggins,Minnesota Timberwolves,22,SG,21,06-Aug,199,Kansas,5758680
414,Steven Adams,Oklahoma City Thunder,12,C,22,7-0,255,Pittsburgh,2279040
415,Nick Collison,Oklahoma City Thunder,4,PF,35,06-Oct,255,Kansas,3750000
416,Kevin Durant,Oklahoma City Thunder,35,SF,27,06-Sep,240,Texas,20158622
417,Randy Foye,Oklahoma City Thunder,6,SG,32,06-Apr,213,Villanova,3135000
418,Josh Huestis,Oklahoma City Thunder,34,SF,24,06-Jul,230,Stanford,1140240
419,Serge Ibaka,Oklahoma City Thunder,9,PF,26,06-Oct,245,,12250000
420,Enes Kanter,Oklahoma City Thunder,11,C,24,06-Nov,245,Kentucky,16407500
421,Mitch McGary,Oklahoma City Thunder,33,PF,24,06-Oct,255,Michigan,1463040
422,Nazr Mohammed,Oklahoma City Thunder,13,C,38,06-Oct,250,Kentucky,222888
423,Anthony Morrow,Oklahoma City Thunder,2,SG,30,06-May,210,Georgia Tech,3344000
424,Cameron Payne,Oklahoma City Thunder,22,PG,21,06-Mar,185,Murray State,2021520
425,Andre Roberson,Oklahoma City Thunder,21,SG,24,06-Jul,210,Colorado,1210800
426,Kyle Singler,Oklahoma City Thunder,5,SF,28,06-Aug,228,Duke,4500000
427,Dion Waiters,Oklahoma City Thunder,3,SG,24,06-Apr,220,Syracuse,5138430
428,Russell Westbrook,Oklahoma City Thunder,0,PG,27,06-Mar,200,UCLA,16744218
429,Cliff Alexander,Portland Trail Blazers,34,PF,20,06-Aug,240,Kansas,525093
430,Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,06-Sep,215,Wake Forest,8042895
431,Pat Connaughton,Portland Trail Blazers,5,SG,23,06-May,206,Notre Dame,625093
432,Allen Crabbe,Portland Trail Blazers,23,SG,24,06-Jun,210,California,947276
433,Ed Davis,Portland Trail Blazers,17,C,27,06-Oct,240,North Carolina,6980802
434,Maurice Harkless,Portland Trail Blazers,4,SF,23,06-Sep,215,St. John's,2894059
435,Gerald Henderson,Portland Trail Blazers,9,SG,28,06-May,215,Duke,6000000
436,Chris Kaman,Portland Trail Blazers,35,C,34,7-0,265,Central Michigan,5016000
437,Meyers Leonard,Portland Trail Blazers,11,PF,24,07-Jan,245,Illinois,3075880
438,Damian Lillard,Portland Trail Blazers,0,PG,25,06-Mar,195,Weber State,4236287
439,C.J. McCollum,Portland Trail Blazers,3,SG,24,06-Apr,200,Lehigh,2525160
440,Luis Montero,Portland Trail Blazers,44,SG,23,06-Jul,185,Westchester CC,525093
441,Mason Plumlee,Portland Trail Blazers,24,C,26,06-Nov,235,Duke,1415520
442,Brian Roberts,Portland Trail Blazers,2,PG,30,06-Jan,173,Dayton,2854940
443,Noah Vonleh,Portland Trail Blazers,21,PF,20,06-Sep,240,Indiana,2637720
444,Trevor Booker,Utah Jazz,33,PF,28,06-Aug,228,Clemson,4775000
445,Trey Burke,Utah Jazz,3,PG,23,06-Jan,191,Michigan,2658240
446,Alec Burks,Utah Jazz,10,SG,24,06-Jun,214,Colorado,9463484
447,Dante Exum,Utah Jazz,11,PG,20,06-Jun,190,,3777720
448,Derrick Favors,Utah Jazz,15,PF,24,06-Oct,265,Georgia Tech,12000000
449,Rudy Gobert,Utah Jazz,27,C,23,07-Jan,245,,1175880
450,Gordon Hayward,Utah Jazz,20,SF,26,06-Aug,226,Butler,15409570
451,Rodney Hood,Utah Jazz,5,SG,23,06-Aug,206,Duke,1348440
452,Joe Ingles,Utah Jazz,2,SF,28,06-Aug,226,,2050000
453,Chris Johnson,Utah Jazz,23,SF,26,06-Jun,206,Dayton,981348
454,Trey Lyles,Utah Jazz,41,PF,20,06-Oct,234,Kentucky,2239800
455,Shelvin Mack,Utah Jazz,8,PG,26,06-Mar,203,Butler,2433333
456,Raul Neto,Utah Jazz,25,PG,24,06-Jan,179,,900000
457,Tibor Pleiss,Utah Jazz,21,C,26,07-Mar,256,,2900000
458,Jeff Withey,Utah Jazz,24,C,26,7-0,231,Kansas,947276
459,,,,,,,,,
